Question ID,P_NUM,Age,Sex,1A_1,1B_1,1C_1,2A_1,2B_1,2C_1,3A_1,3B_1,3C_1,GSQ1_1,HSF1_1,HSF1_2,HSF1_3,HSF2_1,HSF3_1,HSF3_2,HSF4_1,HSF6_1,HSF6_2,S1_1,S2_1,S3_1,S4_1,S5_1,mental-model_open,SART1_1,SART2_1,SART3_1,SART4_1,SART5_1,SART6_1,SART7_1,SART8_1,SART9_1,CQQ1_1,CQQ2_1,SART10_1,CQQ_open,NATX1-3_1,NATX1-3_2,NATX1-3_4,NATX4-6_5,NATX4-6_6,NATX4-6_7
Question Text,נא הזן מספר משתתף,מהו גילך?,מהו מינך?,"ביחס לסבב ההליכה האחרון   שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?",אנא דרג/י את מצבך הרגשי בעת ההליכה שלך עם ה-Go1 על כל אחת מהסקלות הבאות:,"אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""אני והרובוט הלכנו יחד בצורה שוטפת ורציפה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""הרציפות של ההליכה המשותפת השתפרה עם הזמן"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""הרובוט תרם לשטף ולרציפות ההליכה המשותפת"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""סמכתי על הרובוט שיעשה את הדבר הנכון בזמן הנכון"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הרובוט היה בעל תבונה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הרובוט היה מחויב למשימה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הביצועים של הרובוט  בתנועה המשותפת השתפרו עם הזמן"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""לרובוט הייתה תרומה משמעותית להצלחת ההליכה המשותפת"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הייתי מחויב להצלחת ההליכה המשותפת"".",באיזו מידה לדעתך ה-Go1התחיל לנוע בעיכוב (Delay) ביחס לתחילת התנועה שלך?,באיזו מידה לדעתך ה-Go1 סטה במסלול התנועה ביחס לתנועה שלך?,באיזו מידה לדעתך ה-Go1 התעכב (Delay) בשינוי כיוון התנועה ביחס לשינויים בתנועה שלך?,באיזו מידה לדעתך ה-Go1 סטה בהאצת התנועה ביחס להאצות בתנועה שלך?,"באופן כללי, באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?",תאר/י בקצרה (1-2 משפטים) איך לדעתך ה-Go1 ניסה להסתנכרן איתך?,באיזו מידה התנועה המשותפת שלך עם ה-Go1הייתה לא יציבה? (השתנתה בפתאומיות פעמים רבות),באיזו מידה התנועה המשותפת שלך עם ה-Go1 הייתה מורכבת?,באיזו מידה היו שינויים במצב ההליכה שלך עם הרובוט?,באיזו מידה היית במצב של דריכות ומוכוונות לפעולה בעת ההליכה?,באיזו מידה תשומת הלב שלך הושקעה בהליכה המשותפת?,באיזו מידה נדרשת לחלק את הקשב שלך בין גורמים שונים של ההליכה המשותפת?,באיזו מידה היו לך מספיק משאבים מנטאליים על מנת להתמודד עם המטלה?,כמה מידע קלטת שעזר לך להבין את מצב ההליכה המשותפת?,באיזו מידה המידע היה בעל ערך?,באיזו מידה המידע סופק בעקביות?,באיזו מידה המידע היה בהיר וניתן להבנה?,באיזו מידה הליכה מהסוג שביצעת בניסוי מוכרת לך?,תאר/י בקצרה למה התייחסת בשאלות האחרונות בהן נשאלת על 'מידע'?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 1. עד כמה הייתה הפעילות של שמירת תנועה מסונכרנת מאתגרת מבחינה מנטלית (חשיבה, ריכוז, אחריות וכו')",ענה/י ל השאלות הבאות על גבי הסקלות: - 2. עד כמה הייתה הפעילות של שמירת תנועה מסונכרנת מאתגרת מבחינה פיזית?,ענה/י ל השאלות הבאות על גבי הסקלות: - 3. עד כמה חשת לחץ של זמן?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 4. נדרשת לשמור על תנועה מסונכרנת, דרג/י את הצלחתך במשימה זו.",ענה/י ל השאלות הבאות על גבי הסקלות: - 5. מה הייתה רמת המאמץ שנדרשה ממך על מנת להגיע לרמת ביצועיך?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 6. עד כמה הרגשת חסר ביטחון, מיואש, מרוגז ולחוץ בזמן פעילות זו של שמירת תנועה מסונכרנת?"
4/3/2023 16:26:17,400,23,נקבה,5,4,4,5,3,2,2,6,7,6,5,7,5,6,7,7,7,6,7,3,2,3,5,5,"הרובוט חיכה לתזוזה שלי, ברגע שעצרתי הוא גם עצר, לכל אורך הדרך הוא היה קצת מאחוריי אך בכל זאת התנועה הייתה מסונכרנת.",6,5,6,6,7,5,7,6,4,5,3,1,רמזים שקיבלתי מהרובוט בזמן ההליכה,15,2,7,14,12,4
4/3/2023 17:34:18,401,24,זכר,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ט,1,1,1,1,1,1,1,1,1,1,1,1,ע,1,1,1,1,1,1
4/3/2023 17:55:54,403,24,זכר,7,6,5,6,5,6,1,1,1,2,5,7,3,2,3,2,3,5,7,6,5,5,5,5,חיכה תמיד לראות מה אני עושה ואז פעל,5,2,6,7,7,6,7,5,2,1,2,1,קצב ההליכה של הרובוט ואיך שהוא עוקב אחריי,1,1,1,1,1,1
4/20/2023 11:52:50,404,25,נקבה,5,,6,4,5,3,7,2,6,5,5,6,4,4,5,5,5,4,5,5,3,3,5,5,"כשהלכתי הלך יחד איתי, לא תמיד באותו הקצב ולפעמים נשאר קצת מאחור אבל כשהסתובבתי הסתובב יחד איתי והלך מאחוריי. הלך מאחוריי וראה מה אני עושה וניסה להסתנכרן איתי.",6,2,2,4,5,6,7,5,5,6,5,5,הליכה מהירה שלו ותשומת לב שהוא לידי או מלפניי והרעשים שהוא משמיע כשהוא הולך / מסתובב,8,7,4,14,7,5
4/20/2023 13:00:34,405,24,נקבה,3,1,5,3,1,5,1,,6,6,6,7,5,6,6,6,7,6,7,5,2,2,3,6,"ייתכן שבאמצעות מצלמה או אמצעי זיהוי של הרגליים שלי, ראיתי שהוא מנסה תמיד ללכת מצד ימין שלי. ייתכן גם שמתקנים את ההליכה שלו באמצעות שלט רחוק ששולט על ההליכה של הרובוט",6,6,4,5,5,4,4,5,5,6,6,2,הרעש של הרובוט בזמן ההליכה,8,1,1,15,6,2
5/4/2023 12:34:13,406,27,זכר,5,6,6,6,7,4,7,3,6,5,5,7,4,3,3,4,5,3,7,5,3,5,2,6,התאים את עצמו למהירות והאיץ בהתאם לקצב ההליכה.,2,3,2,5,6,6,7,7,5,6,5,7,דפוסי ההתנהגות החוזרים של הרובוט.,9,2,5,16,13,8
5/28/2023 12:45:39,407,24,נקבה,3,3,6,5,5,5,3,3,6,6,5,5,4,5,3,4,3,3,6,2,3,3,5,5,"לא הרגשתי שהוא מסתכרן איתי כמו שאני איתו, הייתי צריכה צריכה להאט לפני העיכובים שלו",3,4,6,5,6,5,7,6,6,6,6,5,עצירות של הרובוט או האטה שלו,4,2,2,13,8,3
5/28/2023 14:36:29,408,25,זכר,3,4,3,4,6,4,5,6,3,3,2,2,3,2,3,6,2,4,3,2,1,2,3,2,"הוא ניסה לעקוב אחראי אך לא היה בקצב מספק, לא צפה שינויים בתנוע. לפעמים סתם עצר",2,5,6,5,6,5,6,6,7,5,6,1,"התייחסתי להשתקפות הרובות בזכוכיות, לראיה שלי את הרובוט",8,1,1,8,4,1
6/1/2023 14:02:35,2101,24,זכר,5,5,5,5,5,5,5,4,3,5,3,3,4,2,3,4,4,4,6,4,5,5,5,4,"ניסה ליישר קו עם ההליכה שלי, ניסה לזהות האצות שלי ולהאיץ גם",4,4,5,5,5,6,5,3,3,7,5,6,הקולות שמשמיע הרובוט כשהוא מגביר או מאט את הליכתו,12,14,5,10,16,2
6/1/2023 15:21:16,2102,23,זכר,3,5,3,4,3,4,4,3,5,5,3,5,3,3,3,4,6,3,5,5,3,4,5,4,"כנראה דרך חיישני ה""ראייה"" שב""פניו"" ולא לפי הקסדה",4,3,5,4,4,5,6,4,5,6,4,3,"כיצד הרובוט מגיב להליכה שלי, עוצר, רוקע, מזנק (אולי קצת יותר מידי מזנק) או נסחב מאחור",12,5,8,10,11,6
6/1/2023 16:29:18,2103,25,נקבה,6,6,3,4,4,5,3,3,6,7,6,7,7,7,5,7,7,7,7,3,3,3,3,6,חיישן תנועה,5,6,3,7,3,3,7,6,6,6,6,5,רעש שהרובוט השמיע - כאשר האיץ הרעש הוגבר,5,1,1,16,3,2
6/8/2023 11:42:25,2104,23,נקבה,6,6,6,6,7,5,7,6,6,3,5,4,2,3,5,4,5,3,6,6,3,3,5,4,כשהסתובבתי הוא הסתובב איתי אבל חוץ מהפניות הרגיש שאני יותר מנסה להתאים את הקצב שלי אליו מאשר ההפך,5,6,5,7,7,6,7,4,5,5,5,3,לחיפוש הדפים שהיו מודבקים על העמודים,14,4,15,14,16,5
6/8/2023 13:57:32,2105,27,נקבה,6,6,3,6,5,3,5,4,4,6,3,5,2,3,5,4,5,1,7,4,2,4,3,3,לראות את התנועות שלי,3,4,4,5,6,2,7,3,5,4,4,3,רעש שמעיד על קצב הליכה,12,3,11,13,12,8
6/8/2023 15:42:57,2106,23,נקבה,5,6,4,2,3,6,4,4,4,5,4,5,4,5,5,5,5,5,6,3,3,3,4,5,מעקבאחריי בעזרת מצלמה וסנסור כלשהו,6,6,5,3,5,4,6,3,6,6,5,3,בעיקר הרעש של ההליכה שלו שמסגיר את המיקום והקצב שלו גם בלי שאסתכל עליו,4,3,3,10,5,4
6/8/2023 16:26:07,2107,23,זכר,6,5,3,3,6,6,2,3,6,7,1,6,3,2,5,4,6,3,6,4,3,5,7,5,"הוא הגביר קצב בדרך כלל, שינה כיוון כשהבין שאני עוצר. הלך יחסית בקצב שלי",2,5,7,7,6,5,7,3,6,2,3,5,לשינויים בתנועה של הרובוט ולתגובות שלו לתנועה שלי,7,2,1,13,5,4
6/11/2023 11:56:56,2108,27,זכר,5,5,2,6,6,1,3,3,5,4,3,6,5,5,5,6,6,6,7,5,6,5,6,4,"ניסה להתאים את הקצב והמסלול שלו אליי, הייתה טיפה הרגשה שעיקר התפיסה (חיישנים) עבדו רק כשהלכתי משמאלו, היה צורך להישאר רק בצד זה",3,5,3,6,7,6,7,6,7,5,5,6,"לאופן בו הרובוט התנהג וזז באופן עקבי, ניסיתי לתפוס דפוסי ”התנהגות”",6,9,1,12,14,3
6/11/2023 13:18:00,2109,29,זכר,5,6,3,3,6,4,3,2,6,3,5,7,2,3,5,6,6,6,5,4,5,2,3,5,בדק הסתברויות מעבר בין קרבה ומכשולי דרך המטקה להתקרב אלי,3,5,3,5,3,2,5,3,3,5,7,5,סנכרון ביני לרובוט,9,2,3,13,4,2
6/11/2023 15:55:05,2110,25,נקבה,5,4,5,7,7,3,6,4,5,4,4,5,3,3,6,5,5,3,7,5,5,4,3,5,לפי קצב ההליכה שלי ושינוי בכיוון התנועה,5,5,4,6,6,6,7,6,7,7,6,7,רעשי הצעדים של הרובוט,17,1,1,14,15,2
6/11/2023 17:20:52,2111,26,נקבה,5,4,4,6,5,3,6,4,4,3,3,2,2,2,4,5,3,2,6,3,5,4,5,3,עי למידת קצב ההליכה שלי בעזרת חיישנים ועי למידת התנועות שלי,5,5,5,6,6,5,6,3,5,4,5,3,רעש של הליכת הרובוט,13,6,10,8,14,5
6/15/2023 11:06:57,2112,23,נקבה,7,5,5,6,7,3,6,4,4,2,2,5,3,2,6,5,6,5,7,7,5,5,4,3,"הוא עקב אחריי ופנה לכיוונים שאני פניתי, השתדל להיות בקצב אבל תמיד חששתי שהוא קצת מאחוריי וחיכיתי לו ואז הוא גם חיכה לי וככה ההליכה המשותפת נתקעה כמה פעמים",6,3,6,6,7,7,7,5,7,6,7,3,"עצירות שהוא עשה, הרגליים שלו רקעו על הרצפה במהירות בשביל לסמן תחילת נסיעה/התלבטות. בנוסף כשלא הסתכלתי עליו ידעתי אם הוא עצר או באיזו מהירות הוא הולך (התחיל לרוץ או האט את ההליכה) לפי הקול של צעידות הרגליים שלו על הרצפה.",14,3,6,8,13,2
6/15/2023 11:35:42,2113,26,זכר,7,7,2,3,7,1,5,7,1,5,1,2,1,2,1,2,2,1,5,7,6,5,7,1,עקב אחרי התנועה שלי אך לא בהצלחה רבה ונאלצתי הרבה פעמים למשוך את תשומת הלב לו כדי שיהיה מסוכנכרן,1,6,6,6,5,1,7,5,1,2,1,1,לסימנים שהרובוט נותן לי כדי להבין את מצב ההליכה המושתפת,17,1,2,4,13,1
6/15/2023 12:36:45,2114,24,נקבה,2,2,6,4,4,5,5,4,5,6,6,5,5,4,5,5,5,5,7,1,3,3,2,5,"התאמת הכיוון בפנייה
האטה כשאני מאיטה
הליכה אחורנית כשאני מסתובבת במקום",6,7,2,6,5,5,7,6,6,5,6,1,"כשאני מקדימה מידי,הוא לא קולט אותי
כנל כשאני לימינו ולא לשמאלו
האצה או האטה של הצעדים כדי להסתנכרן",5,2,3,17,3,2
6/20/2023 12:34:29,2115,28,זכר,6,5,2,6,4,3,5,3,3,5,2,4,2,4,3,3,4,3,7,3,4,4,5,3,לדעתי הוא ניסה לזהות את קצב ההליכה שלי ועל פי זה לחזות את הקצב העתידי שלי על מנת להסתנכרן,4,3,5,5,6,5,7,5,4,3,3,6,בהקשר של מידע התייחסתי לצלילים או לחלופין קולות שהרובוט הוציא,10,2,2,13,10,1
6/20/2023 13:29:16,2116,25,זכר,7,6,2,7,2,6,6,4,3,7,4,4,1,5,5,7,4,2,7,3,7,2,6,4,"ניזה למפש אותי, כאשר לא זיהה בטווח שלו ניסה לעשות סיבוב ולחךש עצם זר קרוב אליו ולנוע אליו",4,2,5,6,7,7,6,6,6,6,7,7,"מסלול,פתקים,רובוט, מהחאות ויכולות הרובוט",15,1,1,14,16,13
